id,make,model,year,VIN,color,price
1,Ferrari,599 GTB Fiorano,2008,1GKMCAE35AR792844,Green,9031.47
2,Suzuki,Forenza,2006,JM1BL1L32C1061232,Maroon,6247.44
3,Porsche,Boxster,2007,1G4GC5EC8BF970924,Green,2021.84
4,Subaru,Impreza WRX,2010,WBS3U9C59FP056525,Goldenrod,4810.08
5,Honda,del Sol,1996,1FTSW2B51AE492082,Violet,8879.71
6,Chevrolet,Venture,1999,WA1YD54B84N953784,Blue,1544.08
7,Chevrolet,Tahoe,2009,1N6BF0KX8FN997355,Khaki,6202.07
8,Suzuki,XL7,2008,1G6AY5S3XE0196492,Orange,7157.74
9,Volkswagen,Type 2,1985,1FTEX1CM3DF310892,Mauv,5904.28
10,Acura,Vigor,1994,WAUVC68E25A225647,Turquoise,2502.9
11,Ford,Crown Victoria,2010,3VWPG3AG1AM540847,Fuscia,7883.8
12,Chevrolet,Colorado,2006,WAULH54B91N400204,Fuscia,3012.77
13,Mitsubishi,Raider,2007,WAUDFAFC4FN002351,Orange,1922.54
14,Aston Martin,DBS,2008,WBAHN035X6D394231,Aquamarine,3149.04
15,Mazda,CX-9,2011,5TFCY5F11CX887574,Khaki,2858.61
16,Chevrolet,Express 3500,2002,1GYS3NKJ3FR633416,Goldenrod,2079.07
17,Chevrolet,Venture,1997,5N1CR2MM5EC249553,Blue,5152.29
18,Ford,Expedition EL,2007,1G6DP5ED9B0223861,Green,2960.43
19,Pontiac,Tempest,1961,SAJWA4DC5EM721788,Yellow,3600.7
20,Acura,RL,2004,WBA3X5C52FD563093,Teal,4031.33
21,Geo,Prizm,1995,19UYA42681A600321,Goldenrod,5133.34
22,Subaru,Legacy,1993,WDDEJ7GB3BA495798,Fuscia,1859.81
23,Hummer,H2,2004,WBAGL63474D862294,Blue,3163.94
24,Ford,Club Wagon,1997,WBAWR33599P432662,Fuscia,3598.03
25,GMC,Yukon XL 1500,2005,WAUEL94FX6N230217,Purple,7445.73
26,Ford,Escort,1995,1G6DU57V690905170,Blue,9972.65
27,Ferrari,F430 Spider,2006,SALVP1BG0CH741443,Maroon,3889.78
28,Jeep,Compass,2011,19UUB2F72FA819155,Red,9960.54
29,Scion,tC,2013,2C3CCAKT1CH503560,Crimson,2907.72
30,BMW,3 Series,2009,WA1AY74L27D169511,Red,5929.28
31,Chevrolet,Uplander,2007,WBAEV53445K145148,Khaki,9645.53
32,Audi,RS4,2008,5N1AR1NB2AC331619,Crimson,4091.16
33,Lexus,RX,2010,WAUMR94E28N942564,Turquoise,4260.88
34,Ford,Mustang,2004,1GYUKJEFXAR202186,Orange,9663.6
35,Toyota,Solara,2008,WAUDH78E87A449978,Indigo,3615.84
36,Mercedes-Benz,W201,1987,WBA3C1C59EK339138,Goldenrod,5368.0
37,Lexus,GX,2012,1D7RV1CP0BS422693,Turquoise,4324.1
38,Toyota,RAV4,1999,1G6AH5RX9E0579073,Violet,3602.13
39,Mitsubishi,Tundra,2009,WBAVL1C58DV131600,Teal,4897.32
40,Oldsmobile,Silhouette,1993,3CZRE3H5XBG423512,Teal,1609.3
41,GMC,Sierra Denali,2006,WAUKG58E25A711957,Indigo,1669.26
42,GMC,Sierra 1500,2004,WAULFAFR7EA604750,Orange,4966.22
43,Mazda,B-Series,1991,3D7JV1EP3BG702092,Teal,9542.2
44,Plymouth,Laser,1992,WAUKF98PX9A533572,Goldenrod,3600.99
45,Chevrolet,Corvette,1959,KMHCM3AC2AU859379,Mauv,5613.02
46,Ferrari,F430,2007,WP0AA2A99CS625449,Green,8508.14
47,Spyker,C8 Spyder,2004,WBAPH73529A046893,Mauv,1750.32
48,Honda,Pilot,2010,5TFBY5F11AX387780,Red,1229.92
49,Volvo,S80,1999,WBAKN9C52ED586803,Khaki,8456.46
50,Volkswagen,Golf,1997,JN8AE2KP9B9415803,Pink,6625.21
51,Chevrolet,Astro,1997,3MZBM1K75EM895595,Purple,2606.56
52,Ford,Explorer,2004,WAUJF78K79N309107,Turquoise,3621.79
53,Honda,Accord,1983,WAUPEBFM3CA932968,Yellow,3110.21
54,Pontiac,Grand Prix,1975,WAUHMBFC1EN063880,Indigo,2517.14
55,Chevrolet,Camaro,1980,WBAKX6C53CC788903,Fuscia,5582.49
56,Maybach,57,2010,1G6DP577470700730,Pink,1733.45
57,Ford,Explorer Sport Trac,2008,3N1AB7APXFL709102,Mauv,6883.0
58,Cadillac,STS-V,2006,WAUBFAFL8CN928948,Orange,8030.46
59,Volvo,XC70,2012,WBA3R5C57EK832158,Aquamarine,4060.87
60,Saab,9000,1992,WAUVT64BX2N326788,Teal,4876.81
61,Scion,xB,2010,1N6AD0CU1BC569252,Khaki,5484.93
62,Chevrolet,Express 2500,2010,WAUXL58E04A031488,Fuscia,1035.25
63,Ford,Bronco,1987,5UXFB93542L037956,Violet,4096.19
64,GMC,Yukon,2002,1FTMF1CW3AF044334,Turquoise,7372.73
65,Pontiac,G5,2008,SCFEDCAD6CG002359,Green,1628.29
66,Mercury,Grand Marquis,1985,WA1DGAFE5DD180834,Red,6039.92
67,Hyundai,Sonata,1998,WA1LFAFP7CA216314,Yellow,8286.53
68,Volkswagen,Fox,1989,JA4AS2AW2AZ921852,Crimson,7942.04
69,Pontiac,Grand Prix,1980,2C3CDYAG6CH341998,Turquoise,1146.63
70,Cadillac,Escalade,2006,WAUVC58E52A688212,Mauv,1966.44
71,Dodge,Dakota,2011,SCBDC3ZA9DC625445,Red,3662.33
72,Mercedes-Benz,SLK-Class,2004,WAUEF98E77A313203,Purple,8004.61
73,Lotus,Exige,2007,KMHEC4A43FA070595,Mauv,9719.7
74,Jeep,Patriot,2008,4T1BK1EBXFU068855,Mauv,2575.92
75,Mitsubishi,Outlander,2011,WA1BV74LX7D557406,Mauv,2570.13
76,Chevrolet,Astro,1993,3N1CN7AP5FL248455,Goldenrod,4133.14
77,Chevrolet,Corvette,1997,1HGCP2E30BA567038,Pink,7207.72
78,Lexus,GS,1998,1C4RDHEG2DC943172,Yellow,4810.22
79,Jeep,Liberty,2008,1G4HJ5EM5AU266998,Goldenrod,3582.74
80,Ford,E-Series,2003,3VW467AT0CM151811,Turquoise,8154.54
81,Mitsubishi,Chariot,1986,KNDJT2A28D7303533,Mauv,9003.89
82,Mazda,MPV,2006,WA1LKBFP0AA571355,Maroon,3129.57
83,Lincoln,MKS,2012,3N1CN7AP6EL003520,Puce,6752.71
84,Pontiac,Vibe,2010,3C6TD5NTXCG403704,Fuscia,3850.13
85,Volkswagen,Eurovan,1997,1N6AA0CC6CN364676,Puce,2727.57
86,Toyota,Supra,1992,4JGBB2FB9AA501581,Indigo,1789.15
87,Dodge,Neon,2000,WAUGFAFC3EN552779,Maroon,2235.57
88,Pontiac,1000,1986,1GYFC56299R573036,Goldenrod,9187.1
89,Eagle,Summit,1996,JA4AD3A31FZ729304,Pink,7584.7
90,Mazda,B-Series,1994,1G6YX36D075761170,Green,5563.21
91,Dodge,Stealth,1992,WA1AY74L08D262447,Yellow,7349.65
92,Infiniti,QX,2008,WBA6B2C5XED992670,Goldenrod,7590.93
93,Mercedes-Benz,E-Class,1989,1G6DK67V890500911,Pink,3951.18
94,Cadillac,CTS-V,2006,1G6AB5SA7F0034286,Puce,1434.21
95,Dodge,Ram 1500,2003,3VW217AU9FM437210,Red,7083.26
96,Chevrolet,Corvette,1965,1FTSW2A53AE347546,Red,1313.99
97,Ford,E-Series,2009,3TMJU4GNXAM169507,Green,5885.74
98,BMW,5 Series,1994,1N4AA5AP7EC612573,Goldenrod,5803.48
99,GMC,Savana,2010,5TDDCRFH8ES231226,Yellow,3225.8
100,Saab,9-5,2009,2HNYD2H31CH802827,Crimson,5087.69
101,Ford,Flex,2011,WAUKG98E86A908642,Indigo,7925.73
102,Dodge,Intrepid,1997,3D73Y3CLXAG453557,Orange,5903.24
103,Acura,RDX,2011,WUAW2BFC7FN591864,Khaki,8330.51
104,Ford,F-Series,1996,WAUSH94F48N575119,Purple,3122.62
105,Dodge,Journey,2009,JN8AZ1MU9CW172403,Mauv,7583.79
106,Chrysler,Voyager,2003,WAU4GBFBXAN686826,Pink,5768.42
107,Mazda,B-Series Plus,1993,WA1YD64B83N394919,Puce,1611.89
108,Subaru,Legacy,1991,WAUKD98PX6A037933,Fuscia,9396.16
109,Acura,RL,2006,1D7RB1CT0BS660419,Violet,2078.93
110,Chevrolet,1500,1996,5UXZV8C52CL787405,Teal,9706.86
111,Mitsubishi,Lancer Evolution,2011,YV1672MC5BJ577801,Fuscia,4654.19
